"";"ring";"early troph";"late troph";"schizont";"early gam";"mature gam";"ookinete"
"PF3D7_0213200.1";20,790666;30,734986;95,990759;71,39675;469,472654;861,957975;72,070245
"PF3D7_0213300.1";34,244779;37,019875;264,807669;189,900939;1934,083387;735,280274;84,074452
"PF3D7_0213400.1";6,255934;10,218577;43,372195;53,200791;95,589981;67,092146;219,275696
"PF3D7_0213500.1";10,887495;23,423973;52,039063;19,970077;32,495009;36,771532;95,192326
"PF3D7_0213600.1";5,439805;2,077521;5,857848;3,081316;13,69934;55,011243;13,921055
"PF3D7_0213700.1";64,500106;322,583638;158,9139;12,419199;1605,933444;830,95882;48,182521
"PF3D7_0213800.1";6,857803;19,79561;5,550569;1,779364;15,20914;164,184195;114,46641
"PF3D7_0213900.1";21,952942;117,474983;31,77975;7,719859;17,00816;16,985541;15,789595
"PF3D7_0214000.1";68,297508;199,252679;158,335276;52,349298;57,064719;19,345517;66,128969
"PF3D7_0214100.1";126,13015;166,472415;512,672465;1154,4284;65,811548;27,611553;47,762213
"PF3D7_0214200.1";15,119741;9,06157;197,804487;97,348112;549,718702;90,243545;39,278278
"PF3D7_0214300.1";6,994871;2,058683;11,53053;0,733362;11,534531;17,357254;23,758647
"PF3D7_0214400.1";95,18108;117,809767;45,004858;6,222087;57,620912;111,239886;85,190614
"PF3D7_0214500.1";16,482663;15,80035;12,293458;4,931701;106,274918;97,598003;0
"PF3D7_0214600.1";5,955146;1,002034;29,095163;48,778236;1,531999;10,55926;176,775008
"PF3D7_0214700.1";3,863586;0,581891;16,744484;41,161997;20,32145;40,732247;171,118329
